provider_id,facility_name,address,city,state,zip_code,area_type,total_beneficiaries,total_discharges
10039,Huntsville Hospital,101 Sivley Rd,Huntsville,AL,35801,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7750,10505
10040,Gadsden Regional Medical Center,1007 Goodyear Avenue,Gadsden,AL,35903,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1302,1778
10044,Marion Regional Medical Center,1256 Military Street South,Hamilton,AL,35570,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",97,115
10045,Fayette Medical Center,1653 Temple Avenue North,Fayette,AL,35555,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",149,180
10046,Riverview Regional Medical Center,600 South Third Street,Gadsden,AL,35901,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1294,1846
10049,Medical Center Enterprise,400 N Edwards Street,Enterprise,AL,36330,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",563,695
10051,Greene County Hospital,509 Wilson Avenue,Eutaw,AL,35462,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",16,17
10052,Lake Martin Community Hospital,201 Mariarden Road,Dadeville,AL,36853,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",84,111
10055,Flowers Hospital,4370 West Main Street,Dothan,AL,36305,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2350,2961
10056,St Vincent's Birmingham,810 St Vincent's Drive,Birmingham,AL,35205,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2850,3639
10058,Bibb Medical Center,208 Pierson Ave,Centreville,AL,35042,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",61,75
10059,Lawrence Medical Center,202 Hospital Street,Moulton,AL,35650,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",77,96
10061,Highlands Medical Center,380 Woods Cove Road,Scottsboro,AL,35768,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",431,522
10062,Wiregrass Medical Center,1200 W Maple Avenue,Geneva,AL,36340,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",76,95
10065,Russell Medical Center,3316 Highway 280,Alexander City,AL,35010,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",331,393
10069,Medical Center Barbour,820 W Washington St,Eufaula,AL,36027,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",170,211
10073,Clay County Hospital,83825 Highway 9    P O Box 1270,Ashland,AL,36251,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",142,199
10078,Northeast Alabama Regional Medical Center,400 East 10th Street,Anniston,AL,36207,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1869,2680
10079,Athens Limestone Hospital,700 West Market Street,Athens,AL,35611,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",847,1072
10083,South Baldwin Regional Medical Center,1613 North Mckenzie Street,Foley,AL,36535,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1247,1564
10085,Decatur Morgan Hospital-Decatur Campus,1201 7th Street Se,Decatur,AL,35601,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1562,2089
10086,Northwest Medical Center,1530 U S Highway 43,Winfield,AL,35594,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",249,314
10087,Usa Health University Hospital,2451 Fillingim Street,Mobile,AL,36617,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1310,1646
10089,Walker Baptist Medical Center,3400 Highway 78 East,Jasper,AL,35502,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",763,1004
10090,Providence Hospital,6801 Airport Boulevard,Mobile,AL,36608,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1844,2402
10091,Grove Hill Memorial Hospital,295 Jackson Hwy S,Grove Hill,AL,36451,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",36,40
10092,Dch Regional Medical Center,809 University Boulevard East,Tuscaloosa,AL,35401,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3193,4628
10095,Hale County Hospital,508 Green Street,Greensboro,AL,36744,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",77,86
10097,Elmore Community Hospital,500 Hospital Drive,Wetumpka,AL,36092,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",128,158
10099,D W Mcmillan Memorial Hospital,1301 Belleville Avenue,Brewton,AL,36426,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",187,262
10100,Thomas Hospital,750 Morphy Avenue,Fairhope,AL,36532,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",2096,2879
10101,Citizens Baptist Medical Center,604 Stone Avenue,Talladega,AL,35161,Unknown,246,331
10102,J Paul Jones Hospital,317 Mcwilliams Avenue,Camden,AL,36726,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",18,20
10103,Princeton Baptist Medical Center,701 Princeton Avenue Southwest,Birmingham,AL,35211,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1352,1698
10104,Grandview Medical Center,3690 Grandview Parkway,Birmingham,AL,35243,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4260,5520
10108,Prattville Baptist Hospital,124 S Memorial Dr,Prattville,AL,36067,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",514,677
10112,Whitfield Regional Hospital,105 Highway 80 East,Demopolis,AL,36732,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",260,335
10113,Mobile Infirmary Medical Center,5 Mobile Infirmary Circle,Mobile,AL,36607,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3126,4342
10114,"Medical West, An Affiliate Of Uab Health System",995 9th Avenue Southwest,Bessemer,AL,35021,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",754,999
10118,Vaughan Regional Medical Center Parkway Campus,1015 Medical Center Parkway,Selma,AL,36701,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",399,574
10120,Monroe County Hospital,2016 South Alabama Avenue,Monroeville,AL,36460,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",161,186
10125,Lakeland Community Hospital,42024 Highway 195 E,Haleyville,AL,35565,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",215,300
10126,Troy Regional Medical Center,1330 Highway 231 South,Troy,AL,36081,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",139,164
10128,Jackson Medical Center,220 Hospital Drive,Jackson,AL,36545,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",91,122
10129,North Baldwin Infirmary,1815 Hand Avenue,Bay Minette,AL,36507,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",260,327
10130,St Vincent's St Clair,7063 Veterans Parkway,Pell City,AL,35125,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",379,469
10131,Crestwood Medical Center,One Hospital Dr Se,Huntsville,AL,35801,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2039,2501
10138,Hill Hospital Of Sumter County,751 Derby Drive,York,AL,36925,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",17,20
10139,Brookwood Baptist Medical Center,1280 Columbiana Road Ste 102,Vestavia,AL,35216,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1340,1604
10144,Springhill Memorial Hospital,3719 Dauphin Street,Mobile,AL,36608,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1440,1823
10148,Evergreen Medical Center,101 Crestview Avenue,Evergreen,AL,36401,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",242,372
10149,Baptist Medical Center East,400 Taylor Road,Montgomery,AL,36117,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1120,1411
10150,Regional Medical Center Of Central Alabama,29 L V Stabler Drive,Greenville,AL,36037,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",128,144
10157,North Alabama Shoals Hospital,201 West Avalon Avenue,Muscle Shoals,AL,35661,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",140,159
10158,Russellville Hospital,15155 Highway 43,Russellville,AL,35653,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",238,331
10164,Coosa Valley Medical Center,315 W Hickory St,Sylacauga,AL,35150,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",396,492
10168,Jack Hughston Memorial Hospital,4401 River Chase Drive,Phenix City,AL,36867,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",430,475
10169,Atmore Community Hospital,401 Medical Park Drive,Atmore,AL,36502,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",119,154
10173,St Vincent's Chilton,2030 Lay Dam Road,Clanton,AL,35045,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",114,125
10174,Thomasville Regional Medical Center,300 Med Park Drive,Thomasville,AL,36784,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",71,83
10175,Eamc - Lanier,4800 48th Street,Valley,AL,36854,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",109,114
20001,Providence Alaska Medical Center,3200 Providence Drive,Anchorage,AK,99508,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3938,5048
20006,Mat-Su Regional Medical Center,2500 South Woodworth Loop,Palmer,AK,99645,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1606,2216
20008,Bartlett Regional Hospital,3260 Hospital Dr,Juneau,AK,99801,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",417,514
20012,Fairbanks Memorial Hospital,1650 Cowles Street,Fairbanks,AK,99701,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1033,1350
20017,Alaska Regional Hospital,2801 Debarr Road,Anchorage,AK,99508,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2419,2981
20018,Yukon Kuskokwim Delta Reg Hospital,Po Box 287,Bethel,AK,99559,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",153,180
20024,Central Peninsula General Hospital,250 Hospital Place,Soldotna,AK,99669,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",779,1133
20026,Alaska Native Medical Center,4315 Diplomacy Dr,Anchorage,AK,99508,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1407,1741
30002,Banner - University Medical Center Phoenix,1111 East Mcdowell Road,Phoenix,AZ,85006,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3034,3705
30006,Tucson Medical Center,5301 East Grant Road,Tucson,AZ,85712,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5000,6458
30007,Verde Valley Medical Center,269 South Candy Lane,Cottonwood,AZ,86326,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1187,1494
30010,St. Mary's Hospital,1601 West St Mary's Road,Tucson,AZ,85745,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1311,1556
30011,St Joseph's Hospital,350 North Wilmot Road,Tucson,AZ,85711,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1695,1987
30012,Yavapai Regional Medical Center,1003 Willow Creek Road,Prescott,AZ,86301,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3201,4208
30013,Yuma Regional Medical Center,2400 South Avenue A,Yuma,AZ,85364,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2429,3253
30014,Honorhealth John C. Lincoln Medical Center,250 East Dunlap Avenue,Phoenix,AZ,85020,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2304,2940
30016,Banner Casa Grande Medical Center,1800 East Florence Boulevard,Casa Grande,AZ,85122,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",859,1136
30022,Valleywise Health Medical Center,2601 East Roosevelt Street,Phoenix,AZ,85008,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",515,611
30023,Flagstaff Medical Center,1200 North Beaver Street,Flagstaff,AZ,86001,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2628,3311
30024,St. Joseph's Hospital And Medical Center,350 West Thomas Road,Phoenix,AZ,85013,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3950,4846
30030,Abrazo Central Campus,2000 West Bethany Home Road,Phoenix,AZ,85015,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",536,616
30036,Chandler Regional Medical Center,1955 West Frye Road,Chandler,AZ,85224,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5282,6961
30037,Tempe St Lukes Hospital,1500 S Mill Ave,Tempe,AZ,85282,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",177,199
30038,Honorhealth Scottsdale Osborn Medical Center,7400 East Osborn Road,Scottsdale,AZ,85251,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3545,4609
30043,Canyon Vista Medical Center,5700 East Highway 90,Sierra Vista,AZ,85635,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1074,1411
30055,Kingman Regional Medical Center,3269 Stockton Hill Road,Kingman,AZ,86401,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1205,1588
30061,Banner Boswell Medical Center,10401 West Thunderbird Boulevard,Sun City,AZ,85351,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3625,4777
30062,Summit Healthcare Regional Medical Center,2200 East Show Low Lake Road,Show Low,AZ,85901,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1146,1438
30064,Banner - University Medical Center Tucson Campus,1625 North Campbell Avenue,Tucson,AZ,85719,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2969,3788
30065,Banner Desert Medical Center,1400 South  Dobson Road,Mesa,AZ,85202,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3712,4594
30069,Havasu Regional Medical Center,101 Civic Center Lane,Lake Havasu City,AZ,86403,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1333,1657
30071,Fort Defiance Indian Hospital,Po Box 649,Fort Defiance,AZ,86504,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",359,497
30073,Tuba City Regional Health Care Corporation,Po Box 600,Tuba City,AZ,86045,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",314,401
30074,Sells Hospital,"Highway 86, At Topawa Road",Sells,AZ,85634,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",19,22
30077,San Carlos Apache Healthcare,103 Medicine Way Road,Peridot,AZ,85542,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",11,11
30078,Phoenix Indian Medical Center,4212 North 16th Street,Phoenix,AZ,85016,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",131,158
30083,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,85032,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",831,934
30084,Chinle Comprehensive Health Care Facility,"Us Hwy 191, Hospital Road",Chinle,AZ,86503,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",314,432
30085,Northwest Medical Center,6200 North La Cholla Boulevard,Tucson,AZ,85741,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2865,3527
30087,Honorhealth Scottsdale Shea Medical Center,9003 East Shea Boulevard,Scottsdale,AZ,85260,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4929,6349
30088,Banner Baywood Medical Center,6644 East Baywood Avenue,Mesa,AZ,85206,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2771,3429
30089,Banner Thunderbird Medical Center,5555 West Thunderbird Road,Glendale,AZ,85306,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2800,3554
30092,Honorhealth Deer Valley Medical Center,19829 North 27th Avenue,Phoenix,AZ,85027,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2739,3424
30093,Banner Del E. Webb Medical Center,14502 West Meeker Boulevard,Sun City West,AZ,85375,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3767,5056
30094,Abrazo Arrowhead Campus,18701 North 67th Avenue,Glendale,AZ,85308,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2553,3000
30101,Western Arizona Regional Medical Center,2735 Silver Creek Road,Bullhead City,AZ,86442,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1052,1314
30103,Mayo Clinic Hospital,5777 East Mayo Boulevard,Phoenix,AZ,85054,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7183,10351
30105,Banner Heart Hospital,6750 East Baywood Avenue,Mesa,AZ,85206,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1360,1546
30107,Arizona Spine And Joint Hospital,4620 East Baseline Road,Mesa,AZ,85206,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",393,420
30108,The Core Institute Specialty Hospital,6501 North 19th Avenue,Phoenix,AZ,85015,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",234,239
30110,Abrazo West Campus,13677 West Mcdowell Road,Goodyear,AZ,85395,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1940,2374
30111,Banner-University Medical Center South Campus,2800 East Ajo Way,Tucson,AZ,85713,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",670,832
30112,Arizona Specialty Hospital,"2905 West Warner Road, Suite 1",Chandler,AZ,85224,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",141,148
30113,Whiteriver Phs Indian Hospital,200 West Hospital Drive  (Po Box 860),Whiteriver,AZ,85941,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",165,220
30114,Oro Valley Hospital,1551 East Tangerine Road,Oro Valley,AZ,85755,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1626,1931
30115,Banner Estrella Medical Center,9201 West Thomas Road,Phoenix,AZ,85037,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1496,1890
30117,Valley View Medical Center,5330 South Highway 95,Fort Mohave,AZ,86426,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",191,204
30119,Mercy Gilbert Medical Center,3555 South Val Vista Drive,Gilbert,AZ,85297,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2799,3732
30121,"Mountain Vista Medical Center, Lp",1301 South Crismon Road,Mesa,AZ,85209,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1077,1224
30122,Banner Gateway Medical Center,1900 North Higley Road,Gilbert,AZ,85234,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1359,1845
30123,Honorhealth Scottsdale Thompson Peak Med Ctr,7400 East Thompson Peak Parkway,Scottsdale,AZ,85255,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2614,3289
30130,Banner Ironwood Medical Center,37000 North Gantzel Road,Queen Creek,AZ,85140,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",661,775
30131,O.A.S.I.S. Hospital,750 North 40th Street,Phoenix,AZ,85008,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",568,591
30134,Banner Goldfield Medical Center,2050 West Southern Avenue,Apache Junction,AZ,85120,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",162,182
30136,Dignity Health - Arizona General Hospital,7171 South 51st Avenue,Laveen,AZ,85339,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",49,53
30138,Western Regional Medical Center,14200 West Celebrate Life Way,Goodyear,AZ,85338,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",142,179
30139,Dignity Health Arizona General Hospital,9130 East Elliot Road,Mesa,AZ,85212,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",574,627
30146,Honorhealth Sonoran Crossing Medical Center,33400 North 32nd Avenue,Phoenix,AZ,85085,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",691,878
30147,Banner Ocotillo Medical Center,1405 South Alma School Road,Chandler,AZ,85286,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",563,649
30148,Northwest Medical Center Sahuarita,16260 South Rancho Sahuarita Boulevard,Sahuarita,AZ,85629,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1001,1154
30153,East Valley Er & Hospital,5656 South Power Rd,Gilbert,AZ,85295,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17,17
30154,Exceptional Community Hospital Yuma,2648 South Araby Rd,Yuma,AZ,85365,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",73,78
40001,Siloam Springs Regional Hospital,603 North Progress Avenue,Siloam Springs,AR,72761,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",309,354
40002,Johnson Regional Medical Center,1100 East Poplar Street,Clarksville,AR,72830,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",227,299
40004,Washington Regional Medical Center,3215 N North Hills Boulevard,Fayetteville,AR,72703,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3285,4246
40007,Chi St Vincent Infirmary,Two St Vincent Circle,Little Rock,AR,72205,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3517,4435
40010,Mercy Hospital Northwest Arkansas,2710 South Rife Medical Lane,Rogers,AR,72758,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2658,3599
40011,Chambers Memorial Hospital,719 Detroit Street,Danville,AR,72833,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",325,508
40014,Unity Health White County Medical Center,3214 East Race Avenue,Searcy,AR,72143,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2128,3083
40015,Mena Regional Health System,311 North Morrow Street,Mena,AR,71953,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",189,232
40016,Uams Medical Center,4301 West Markham Street Mail Slot 612,Little Rock,AR,72205,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3243,4347
40017,North Arkansas Regional Medical Center,620 North Main Street,Harrison,AR,72601,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",524,666
40019,Forrest City Medical Center,1601 Newcastle Road,Forrest City,AR,72335,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",133,142
40020,St Bernards Medical Center,225 E Washiington Avenue,Jonesboro,AR,72401,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3508,4995
40022,Northwest Medical Center,609 West Maple Avenue,Springdale,AR,72764,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1537,1999
40026,Chi St. Vincent Hospital Hot Springs,300 Werner Street,Hot Springs,AR,71903,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3076,4231
40027,Baxter Health,624 Hospital Drive,Mountain Home,AR,72653,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2186,3029
40029,"Conway Regional Medical Center, Inc",2302 College Avenue,Conway,AR,72034,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1827,2458
40036,Baptist Health Medical Center North Little Rock,3333 Springhill Drive,North Little Rock,AR,72117,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3118,4033
40039,Arkansas Methodist Medical Center,900 West Kingshighway,Paragould,AR,72450,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",565,754
40041,St Marys Regional Medical Center,1808 West Main Street,Russellville,AR,72801,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",806,1026
40047,St Bernards Five Rivers Medical Center,2801 Medical Center Drive,Pocahontas,AR,72455,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",118,142
40050,Ouachita County Medical Center,638 California Avenue,Camden,AR,71701,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",240,296
40051,Baptist Health Medical Center-Drew County,778 Scogin Drive,Monticello,AR,71655,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",431,633
40055,Baptist Health - Fort Smith,1001 Towson Avenue,Fort Smith,AR,72901,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2369,3530
40062,Mercy Hospital Fort Smith,7301 Rogers Ave,Fort Smith,AR,72903,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3166,4280
40067,Magnolia Regional Medical Center,101 Hospital Drive,Magnolia,AR,71753,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",277,346
40069,Great River Medical Center,1520 N Division Street,Blytheville,AR,72315,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",158,209
40071,Jefferson Regional Medical Center,1600 West 40th Avenue,Pine Bluff,AR,71603,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1234,1672
40072,Baptist Health Medical Center-Stuttgart,1703 North Buerkle St,Stuttgart,AR,72160,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",135,158
