fips,county,state,state_abbr,location,total_population,poverty_rate,unemployment_rate,no_hs_diploma_rate,uninsured_rate,seniors_pct,youth_pct,disability_rate,single_parent_pct,svi_percentile,hospital_count,state_population,hospitals_per_100k,vulnerability_score,risk_category,access_category,priority_score,priority_level
1001020100,Autauga County,Alabama,AL,Census Tract 201; Autauga County; Alabama,1865,21.6,2.6,16.2,8.2,19.5,24.0,20.1,4.9,0.3635,0.0,5028092,0.0,26.64,Low Risk,Adequate Access,1,Low Priority
1001020804,Autauga County,Alabama,AL,Census Tract 208.04; Autauga County; Alabama,5497,5.9,1.1,5.8,3.5,12.7,28.1,13.1,10.9,0.1136,0.0,5028092,0.0,12.67,Low Risk,Adequate Access,1,Low Priority
1001020805,Autauga County,Alabama,AL,Census Tract 208.05; Autauga County; Alabama,2550,9.9,4.4,3.6,4.3,7.6,22.6,5.9,6.5,0.151,0.0,5028092,0.0,11.94,Low Risk,Adequate Access,1,Low Priority
1001020901,Autauga County,Alabama,AL,Census Tract 209.01; Autauga County; Alabama,4034,14.5,2.7,9.4,5.9,7.5,34.0,14.5,0.0,0.3086,0.0,5028092,0.0,16.57,Low Risk,Adequate Access,1,Low Priority
1001020902,Autauga County,Alabama,AL,Census Tract 209.02; Autauga County; Alabama,2781,13.7,1.7,8.2,4.8,22.7,18.0,17.7,10.3,0.277,0.0,5028092,0.0,21.8,Low Risk,Adequate Access,1,Low Priority
1001021000,Autauga County,Alabama,AL,Census Tract 210; Autauga County; Alabama,2902,38.5,4.3,15.2,16.0,11.8,21.7,16.3,11.8,0.5688,0.0,5028092,0.0,34.44,Moderate Risk,Adequate Access,2,Low Priority
1001021100,Autauga County,Alabama,AL,Census Tract 211; Autauga County; Alabama,3985,47.1,7.6,15.8,14.3,20.2,23.3,16.4,8.0,0.9016,0.0,5028092,0.0,41.51,Moderate Risk,Adequate Access,2,Low Priority
1003010100,Baldwin County,Alabama,AL,Census Tract 101; Baldwin County; Alabama,3628,25.9,6.3,16.7,9.8,22.7,20.3,17.6,1.5,0.5556,0.0,5028092,0.0,30.78,Low Risk,Adequate Access,1,Low Priority
1003010200,Baldwin County,Alabama,AL,Census Tract 102; Baldwin County; Alabama,2955,23.1,2.2,11.6,10.1,19.4,21.5,22.2,7.4,0.5567,0.0,5028092,0.0,28.6,Low Risk,Adequate Access,1,Low Priority
1003010300,Baldwin County,Alabama,AL,Census Tract 103; Baldwin County; Alabama,8740,25.1,3.0,10.1,8.5,13.5,21.5,12.7,1.9,0.3306,0.0,5028092,0.0,24.29,Low Risk,Adequate Access,1,Low Priority
1003010400,Baldwin County,Alabama,AL,Census Tract 104; Baldwin County; Alabama,5730,23.0,2.1,25.0,9.1,18.0,19.7,13.6,0.0,0.1625,0.0,5028092,0.0,25.24,Low Risk,Adequate Access,1,Low Priority
1003010500,Baldwin County,Alabama,AL,Census Tract 105; Baldwin County; Alabama,5291,20.8,2.9,16.8,10.8,17.8,16.0,17.5,7.1,0.568,0.0,5028092,0.0,26.21,Low Risk,Adequate Access,1,Low Priority
1003010600,Baldwin County,Alabama,AL,Census Tract 106; Baldwin County; Alabama,3748,58.6,11.8,18.7,19.0,15.8,28.2,14.3,13.3,0.9645,0.0,5028092,0.0,47.8,Moderate Risk,Adequate Access,2,Low Priority
1003010704,Baldwin County,Alabama,AL,Census Tract 107.04; Baldwin County; Alabama,5550,17.0,2.3,2.7,8.3,17.2,27.9,9.0,8.6,0.2603,0.0,5028092,0.0,20.69,Low Risk,Adequate Access,1,Low Priority
1003010706,Baldwin County,Alabama,AL,Census Tract 107.06; Baldwin County; Alabama,4211,6.7,5.4,1.3,8.3,14.8,21.6,10.3,11.7,0.1131,0.0,5028092,0.0,16.37,Low Risk,Adequate Access,1,Low Priority
1003010707,Baldwin County,Alabama,AL,Census Tract 107.07; Baldwin County; Alabama,5985,6.9,0.6,2.1,3.4,20.0,24.6,13.5,2.2,0.1397,0.0,5028092,0.0,15.69,Low Risk,Adequate Access,1,Low Priority
1003010708,Baldwin County,Alabama,AL,Census Tract 107.08; Baldwin County; Alabama,11526,12.0,2.6,6.1,4.3,7.4,35.3,10.5,3.2,0.4626,0.0,5028092,0.0,13.58,Low Risk,Limited Access,3,Low Priority
1003010709,Baldwin County,Alabama,AL,Census Tract 107.09; Baldwin County; Alabama,11981,14.9,0.5,2.7,5.0,10.9,37.8,9.6,4.1,0.1744,0.0,5028092,0.0,15.65,Low Risk,Limited Access,3,Low Priority
1003010710,Baldwin County,Alabama,AL,Census Tract 107.10; Baldwin County; Alabama,6227,14.5,2.9,0.9,3.6,15.6,28.0,10.1,8.1,0.3478,0.0,5028092,0.0,17.32,Low Risk,Adequate Access,1,Low Priority
1003010711,Baldwin County,Alabama,AL,Census Tract 107.11; Baldwin County; Alabama,3890,11.7,2.7,7.9,5.6,22.6,16.6,18.2,1.3,0.2035,0.0,5028092,0.0,21.63,Low Risk,Adequate Access,1,Low Priority
1003010800,Baldwin County,Alabama,AL,Census Tract 108; Baldwin County; Alabama,7610,22.7,2.3,8.0,8.4,24.6,19.0,11.5,2.3,0.5757,0.0,5028092,0.0,26.66,Low Risk,Adequate Access,1,Low Priority
1003010903,Baldwin County,Alabama,AL,Census Tract 109.03; Baldwin County; Alabama,7658,25.2,2.2,8.2,8.6,9.9,28.6,7.9,8.8,0.5205,0.0,5028092,0.0,21.57,Low Risk,Adequate Access,1,Low Priority
1003010904,Baldwin County,Alabama,AL,Census Tract 109.04; Baldwin County; Alabama,6919,25.5,2.7,13.5,7.0,29.0,16.3,25.0,4.4,0.3185,0.0,5028092,0.0,32.64,Low Risk,Adequate Access,1,Low Priority
1003010906,Baldwin County,Alabama,AL,Census Tract 109.06; Baldwin County; Alabama,4663,27.4,2.3,12.4,17.1,19.2,22.0,15.4,5.9,0.7234,0.0,5028092,0.0,31.81,Low Risk,Adequate Access,1,Low Priority
1003010907,Baldwin County,Alabama,AL,Census Tract 109.07; Baldwin County; Alabama,4544,10.3,1.5,3.9,12.1,11.7,19.5,12.0,8.3,0.2221,0.0,5028092,0.0,17.99,Low Risk,Adequate Access,1,Low Priority
1003010908,Baldwin County,Alabama,AL,Census Tract 109.08; Baldwin County; Alabama,5094,14.9,0.2,7.1,3.7,10.7,23.6,15.8,8.7,0.4527,0.0,5028092,0.0,16.59,Low Risk,Adequate Access,1,Low Priority
1003011000,Baldwin County,Alabama,AL,Census Tract 110; Baldwin County; Alabama,5522,38.8,7.6,25.3,17.7,18.0,26.4,9.5,0.5,0.7386,0.0,5028092,0.0,36.63,Moderate Risk,Adequate Access,2,Low Priority
1003011102,Baldwin County,Alabama,AL,Census Tract 111.02; Baldwin County; Alabama,5703,13.4,2.5,3.3,5.0,19.8,21.6,4.9,8.9,0.1474,0.0,5028092,0.0,17.46,Low Risk,Adequate Access,1,Low Priority
1003011103,Baldwin County,Alabama,AL,Census Tract 111.03; Baldwin County; Alabama,3545,22.3,2.8,2.7,1.9,25.6,15.7,10.0,0.0,0.1241,0.0,5028092,0.0,23.63,Low Risk,Adequate Access,1,Low Priority
1003011104,Baldwin County,Alabama,AL,Census Tract 111.04; Baldwin County; Alabama,7302,17.6,3.6,8.4,3.6,23.0,22.5,12.1,4.8,0.4904,0.0,5028092,0.0,22.12,Low Risk,Adequate Access,1,Low Priority
1003011201,Baldwin County,Alabama,AL,Census Tract 112.01; Baldwin County; Alabama,4449,14.1,4.3,1.6,2.1,33.4,17.1,17.1,1.2,0.1947,0.0,5028092,0.0,25.17,Low Risk,Adequate Access,1,Low Priority
1003011202,Baldwin County,Alabama,AL,Census Tract 112.02; Baldwin County; Alabama,6095,13.7,6.9,7.0,4.5,30.0,16.1,16.1,1.8,0.4823,0.0,5028092,0.0,25.28,Low Risk,Adequate Access,1,Low Priority
1003011300,Baldwin County,Alabama,AL,Census Tract 113; Baldwin County; Alabama,5411,12.0,0.5,5.2,3.3,29.1,14.5,11.8,1.9,0.1272,0.0,5028092,0.0,20.74,Low Risk,Adequate Access,1,Low Priority
1003011409,Baldwin County,Alabama,AL,Census Tract 114.09; Baldwin County; Alabama,5945,12.8,5.8,10.8,11.6,18.3,21.5,11.1,2.8,0.2402,0.0,5028092,0.0,22.2,Low Risk,Adequate Access,1,Low Priority
1003011410,Baldwin County,Alabama,AL,Census Tract 114.10; Baldwin County; Alabama,8096,21.9,2.9,11.0,7.2,23.5,20.1,12.5,2.0,0.3702,0.0,5028092,0.0,25.79,Low Risk,Adequate Access,1,Low Priority
1003011411,Baldwin County,Alabama,AL,Census Tract 114.11; Baldwin County; Alabama,5727,30.4,10.7,1.5,9.9,27.2,18.9,16.0,0.0,0.5207,0.0,5028092,0.0,35.24,Moderate Risk,Adequate Access,2,Low Priority
1003011412,Baldwin County,Alabama,AL,Census Tract 114.12; Baldwin County; Alabama,3578,14.8,0.7,1.8,19.9,24.6,19.5,11.4,23.7,0.5132,0.0,5028092,0.0,27.82,Low Risk,Adequate Access,1,Low Priority
1003011413,Baldwin County,Alabama,AL,Census Tract 114.13; Baldwin County; Alabama,4160,9.3,3.8,9.8,16.0,22.1,11.3,15.1,6.6,0.446,0.0,5028092,0.0,24.52,Low Risk,Adequate Access,1,Low Priority
1003011414,Baldwin County,Alabama,AL,Census Tract 114.14; Baldwin County; Alabama,3654,5.6,5.0,5.2,6.8,24.5,20.8,9.8,0.9,0.2046,0.0,5028092,0.0,18.45,Low Risk,Adequate Access,1,Low Priority
1003011415,Baldwin County,Alabama,AL,Census Tract 114.15; Baldwin County; Alabama,1805,2.8,4.1,0.2,1.7,41.4,3.2,11.2,0.0,0.0195,0.0,5028092,0.0,21.12,Low Risk,Adequate Access,1,Low Priority
1003011416,Baldwin County,Alabama,AL,Census Tract 114.16; Baldwin County; Alabama,1752,8.7,0.0,2.2,4.4,37.4,9.2,7.9,0.0,0.0907,0.0,5028092,0.0,21.56,Low Risk,Adequate Access,1,Low Priority
1003011417,Baldwin County,Alabama,AL,Census Tract 114.17; Baldwin County; Alabama,2296,3.2,0.0,3.4,18.2,15.7,15.3,10.0,3.6,0.1393,0.0,5028092,0.0,18.04,Low Risk,Adequate Access,1,Low Priority
1003011418,Baldwin County,Alabama,AL,Census Tract 114.18; Baldwin County; Alabama,1724,12.9,2.6,8.9,7.0,29.9,7.9,13.3,1.8,0.2609,0.0,5028092,0.0,24.08,Low Risk,Adequate Access,1,Low Priority
1003011419,Baldwin County,Alabama,AL,Census Tract 114.19; Baldwin County; Alabama,5210,18.2,2.3,2.7,12.9,34.7,11.7,15.1,2.2,0.4397,0.0,5028092,0.0,31.28,Low Risk,Adequate Access,1,Low Priority
1003011501,Baldwin County,Alabama,AL,Census Tract 115.01; Baldwin County; Alabama,7825,17.8,9.4,7.2,18.1,27.3,17.7,20.8,1.3,0.7207,0.0,5028092,0.0,34.24,Moderate Risk,Adequate Access,2,Low Priority
1003011503,Baldwin County,Alabama,AL,Census Tract 115.03; Baldwin County; Alabama,8252,22.4,1.0,16.4,18.6,22.9,21.4,19.6,9.0,0.6694,0.0,5028092,0.0,32.35,Low Risk,Adequate Access,1,Low Priority
1003011504,Baldwin County,Alabama,AL,Census Tract 115.04; Baldwin County; Alabama,7050,9.8,7.7,11.4,14.9,31.3,12.7,20.9,0.6,0.6223,0.0,5028092,0.0,30.19,Low Risk,Adequate Access,1,Low Priority
1003011601,Baldwin County,Alabama,AL,Census Tract 116.01; Baldwin County; Alabama,5753,20.1,4.2,13.0,15.6,23.9,13.1,18.1,3.0,0.5799,0.0,5028092,0.0,30.78,Low Risk,Adequate Access,1,Low Priority
1003011603,Baldwin County,Alabama,AL,Census Tract 116.03; Baldwin County; Alabama,3703,27.3,1.4,4.4,17.3,28.0,16.8,16.4,2.0,0.3415,0.0,5028092,0.0,35.06,Moderate Risk,Adequate Access,2,Low Priority
1003011604,Baldwin County,Alabama,AL,Census Tract 116.04; Baldwin County; Alabama,2913,13.4,5.3,7.1,8.7,47.3,8.1,20.9,0.1,0.1838,0.0,5028092,0.0,34.15,Moderate Risk,Adequate Access,2,Low Priority
1005950100,Barbour County,Alabama,AL,Census Tract 9501; Barbour County; Alabama,2789,26.5,14.7,14.0,7.7,20.0,20.1,22.0,4.6,0.792,0.0,5028092,0.0,32.6,Low Risk,Adequate Access,1,Low Priority
1005950200,Barbour County,Alabama,AL,Census Tract 9502; Barbour County; Alabama,3634,29.6,1.4,27.5,3.1,17.2,15.0,18.7,4.1,0.7675,0.0,5028092,0.0,26.41,Low Risk,Adequate Access,1,Low Priority
1005950300,Barbour County,Alabama,AL,Census Tract 9503; Barbour County; Alabama,1479,38.8,2.3,20.7,7.3,17.7,23.0,19.2,4.3,0.623,0.0,5028092,0.0,33.02,Moderate Risk,Adequate Access,2,Low Priority
1005950400,Barbour County,Alabama,AL,Census Tract 9504; Barbour County; Alabama,4009,43.9,5.0,35.6,17.3,15.4,15.4,15.1,7.9,0.8525,0.0,5028092,0.0,38.63,Moderate Risk,Adequate Access,2,Low Priority
1005950500,Barbour County,Alabama,AL,Census Tract 9505; Barbour County; Alabama,2821,29.2,6.3,19.8,9.0,32.0,17.8,22.8,4.5,0.7354,0.0,5028092,0.0,36.68,Moderate Risk,Adequate Access,2,Low Priority
1005950600,Barbour County,Alabama,AL,Census Tract 9506; Barbour County; Alabama,1859,36.9,4.2,16.3,7.3,14.5,26.6,15.1,15.7,0.8375,0.0,5028092,0.0,30.41,Low Risk,Adequate Access,1,Low Priority
1005950700,Barbour County,Alabama,AL,Census Tract 9507; Barbour County; Alabama,1676,34.9,3.8,23.5,7.0,20.9,21.5,15.5,18.5,0.7779,0.0,5028092,0.0,31.68,Low Risk,Adequate Access,1,Low Priority
1005950800,Barbour County,Alabama,AL,Census Tract 9508; Barbour County; Alabama,2232,49.0,8.4,12.8,11.1,30.4,20.7,21.0,16.0,0.906,0.0,5028092,0.0,46.06,Moderate Risk,Adequate Access,2,Low Priority
1005950900,Barbour County,Alabama,AL,Census Tract 9509; Barbour County; Alabama,4378,46.1,4.1,25.3,17.4,15.1,28.9,14.6,21.7,0.9149,0.0,5028092,0.0,39.18,Moderate Risk,Adequate Access,2,Low Priority
1007010001,Bibb County,Alabama,AL,Census Tract 100.01; Bibb County; Alabama,2524,39.9,2.1,25.5,18.8,15.3,27.7,16.0,0.0,0.6699,0.0,5028092,0.0,36.92,Moderate Risk,Adequate Access,2,Low Priority
1007010005,Bibb County,Alabama,AL,Census Tract 100.05; Bibb County; Alabama,4750,25.6,19.8,17.2,9.4,14.9,22.9,19.8,1.6,0.701,0.0,5028092,0.0,31.9,Low Risk,Adequate Access,1,Low Priority
1007010006,Bibb County,Alabama,AL,Census Tract 100.06; Bibb County; Alabama,1662,33.8,10.7,14.6,17.5,12.2,23.2,18.3,3.3,0.6666,0.0,5028092,0.0,35.41,Moderate Risk,Adequate Access,2,Low Priority
1007010007,Bibb County,Alabama,AL,Census Tract 100.07; Bibb County; Alabama,2243,14.8,6.6,21.5,5.0,11.7,15.4,17.1,15.0,0.3313,0.0,5028092,0.0,19.58,Low Risk,Adequate Access,1,Low Priority
1007010008,Bibb County,Alabama,AL,Census Tract 100.08; Bibb County; Alabama,2668,19.3,6.9,12.2,8.0,18.9,15.8,15.4,1.1,0.2817,0.0,5028092,0.0,25.19,Low Risk,Adequate Access,1,Low Priority
1007010009,Bibb County,Alabama,AL,Census Tract 100.09; Bibb County; Alabama,2762,47.2,5.6,33.3,2.1,15.1,15.2,25.9,24.8,0.7937,0.0,5028092,0.0,36.23,Moderate Risk,Adequate Access,2,Low Priority
1007010010,Bibb County,Alabama,AL,Census Tract 100.10; Bibb County; Alabama,2684,28.6,1.7,23.4,7.3,27.9,15.8,30.3,8.1,0.7532,0.0,5028092,0.0,34.94,Moderate Risk,Adequate Access,2,Low Priority
1007010011,Bibb County,Alabama,AL,Census Tract 100.11; Bibb County; Alabama,2958,31.1,0.3,20.5,0.2,17.1,31.4,15.3,6.9,0.6185,0.0,5028092,0.0,24.53,Low Risk,Adequate Access,1,Low Priority
1009050103,Blount County,Alabama,AL,Census Tract 501.03; Blount County; Alabama,2223,42.4,11.1,24.4,8.8,16.4,27.9,15.8,0.6,0.6426,0.0,5028092,0.0,36.32,Moderate Risk,Adequate Access,2,Low Priority
1009050104,Blount County,Alabama,AL,Census Tract 501.04; Blount County; Alabama,3012,11.4,5.2,20.4,12.0,24.0,28.9,18.9,0.2,0.5043,0.0,5028092,0.0,25.75,Low Risk,Adequate Access,1,Low Priority
1009050105,Blount County,Alabama,AL,Census Tract 501.05; Blount County; Alabama,4961,27.3,5.9,21.3,11.9,25.4,21.3,17.2,1.9,0.8022,0.0,5028092,0.0,33.12,Moderate Risk,Adequate Access,2,Low Priority
1009050106,Blount County,Alabama,AL,Census Tract 501.06; Blount County; Alabama,2814,31.8,9.5,34.0,19.1,21.5,24.7,23.3,26.7,0.9383,0.0,5028092,0.0,39.62,Moderate Risk,Adequate Access,2,Low Priority
1009050107,Blount County,Alabama,AL,Census Tract 501.07; Blount County; Alabama,2550,27.4,2.7,19.8,13.1,20.1,21.1,15.1,0.4,0.4865,0.0,5028092,0.0,30.36,Low Risk,Adequate Access,1,Low Priority
1009050200,Blount County,Alabama,AL,Census Tract 502; Blount County; Alabama,4097,20.9,4.5,20.1,9.2,19.5,25.3,11.5,7.3,0.684,0.0,5028092,0.0,24.96,Low Risk,Adequate Access,1,Low Priority
1009050301,Blount County,Alabama,AL,Census Tract 503.01; Blount County; Alabama,3041,21.1,1.8,20.4,6.5,17.8,22.7,16.2,4.4,0.5168,0.0,5028092,0.0,23.76,Low Risk,Adequate Access,1,Low Priority
1009050302,Blount County,Alabama,AL,Census Tract 503.02; Blount County; Alabama,2541,26.4,9.9,33.6,19.4,27.3,17.1,20.1,4.1,0.8017,0.0,5028092,0.0,38.65,Moderate Risk,Adequate Access,2,Low Priority
1009050400,Blount County,Alabama,AL,Census Tract 504; Blount County; Alabama,4177,17.3,8.1,20.1,11.9,17.3,16.9,23.5,2.4,0.347,0.0,5028092,0.0,27.98,Low Risk,Adequate Access,1,Low Priority
1009050501,Blount County,Alabama,AL,Census Tract 505.01; Blount County; Alabama,3919,21.2,1.5,11.7,9.4,15.0,23.2,13.2,6.2,0.5048,0.0,5028092,0.0,23.21,Low Risk,Adequate Access,1,Low Priority
1009050502,Blount County,Alabama,AL,Census Tract 505.02; Blount County; Alabama,3575,30.3,7.1,16.8,13.9,12.4,20.4,16.2,2.3,0.5752,0.0,5028092,0.0,30.74,Low Risk,Adequate Access,1,Low Priority
1009050601,Blount County,Alabama,AL,Census Tract 506.01; Blount County; Alabama,3923,18.0,4.6,12.7,9.3,13.4,28.2,14.2,5.9,0.4575,0.0,5028092,0.0,22.25,Low Risk,Adequate Access,1,Low Priority
1009050603,Blount County,Alabama,AL,Census Tract 506.03; Blount County; Alabama,4156,11.0,2.2,6.5,5.3,10.3,27.1,15.4,3.6,0.1247,0.0,5028092,0.0,15.84,Low Risk,Adequate Access,1,Low Priority
1009050604,Blount County,Alabama,AL,Census Tract 506.04; Blount County; Alabama,5797,22.3,10.9,11.3,6.7,18.4,24.0,14.6,7.0,0.5146,0.0,5028092,0.0,26.64,Low Risk,Adequate Access,1,Low Priority
1009050701,Blount County,Alabama,AL,Census Tract 507.01; Blount County; Alabama,5628,21.1,6.3,19.9,4.0,17.9,20.9,19.9,5.0,0.574,0.0,5028092,0.0,24.89,Low Risk,Adequate Access,1,Low Priority
1009050702,Blount County,Alabama,AL,Census Tract 507.02; Blount County; Alabama,2663,31.8,6.4,10.5,13.6,19.2,17.9,18.8,4.7,0.463,0.0,5028092,0.0,34.25,Moderate Risk,Adequate Access,2,Low Priority
1011952100,Bullock County,Alabama,AL,Census Tract 9521; Bullock County; Alabama,1707,45.1,5.7,14.2,12.7,14.4,19.2,15.5,14.1,0.7474,0.0,5028092,0.0,37.03,Moderate Risk,Adequate Access,2,Low Priority
1011952201,Bullock County,Alabama,AL,Census Tract 9522.01; Bullock County; Alabama,2437,37.7,3.5,27.0,10.1,22.9,21.3,7.9,15.1,0.8213,0.0,5028092,0.0,32.93,Low Risk,Adequate Access,1,Low Priority
1011952202,Bullock County,Alabama,AL,Census Tract 9522.02; Bullock County; Alabama,4133,70.7,5.8,30.7,9.6,10.9,23.9,9.9,25.4,0.9412,0.0,5028092,0.0,44.43,Moderate Risk,Adequate Access,2,Low Priority
1011952500,Bullock County,Alabama,AL,Census Tract 9525; Bullock County; Alabama,2051,20.9,0.0,27.7,18.7,22.5,16.5,13.7,9.2,0.5224,0.0,5028092,0.0,29.71,Low Risk,Adequate Access,1,Low Priority
1013952700,Butler County,Alabama,AL,Census Tract 9527; Butler County; Alabama,2110,36.5,7.4,15.1,11.8,29.8,19.4,17.0,10.1,0.7861,0.0,5028092,0.0,39.17,Moderate Risk,Adequate Access,2,Low Priority
1013952800,Butler County,Alabama,AL,Census Tract 9528; Butler County; Alabama,1395,17.2,5.9,8.1,3.1,18.6,30.6,11.3,3.9,0.1628,0.0,5028092,0.0,20.54,Low Risk,Adequate Access,1,Low Priority
1013952900,Butler County,Alabama,AL,Census Tract 9529; Butler County; Alabama,2181,44.8,12.5,15.5,6.8,14.2,22.5,11.4,0.3,0.7231,0.0,5028092,0.0,34.89,Moderate Risk,Adequate Access,2,Low Priority
1013953000,Butler County,Alabama,AL,Census Tract 9530; Butler County; Alabama,1141,30.9,0.0,4.5,10.6,19.5,17.4,14.1,11.3,0.3798,0.0,5028092,0.0,29.59,Low Risk,Adequate Access,1,Low Priority
1013953100,Butler County,Alabama,AL,Census Tract 9531; Butler County; Alabama,2656,42.9,2.6,13.3,7.9,21.0,27.9,20.0,13.5,0.8468,0.0,5028092,0.0,36.63,Moderate Risk,Adequate Access,2,Low Priority
1013953200,Butler County,Alabama,AL,Census Tract 9532; Butler County; Alabama,3757,25.3,3.6,9.9,17.9,16.1,22.0,15.8,5.7,0.4839,0.0,5028092,0.0,30.57,Low Risk,Adequate Access,1,Low Priority
1013953300,Butler County,Alabama,AL,Census Tract 9533; Butler County; Alabama,1589,31.0,12.6,15.0,15.5,23.7,13.5,19.5,7.1,0.6411,0.0,5028092,0.0,38.24,Moderate Risk,Adequate Access,2,Low Priority
1013953400,Butler County,Alabama,AL,Census Tract 9534; Butler County; Alabama,2652,42.6,12.7,10.9,10.8,22.9,21.0,16.9,8.5,0.8104,0.0,5028092,0.0,40.39,Moderate Risk,Adequate Access,2,Low Priority
1013953500,Butler County,Alabama,AL,Census Tract 9535; Butler County; Alabama,1500,24.2,1.1,17.1,7.6,30.1,24.7,17.7,1.2,0.3428,0.0,5028092,0.0,30.31,Low Risk,Adequate Access,1,Low Priority
1015000200,Calhoun County,Alabama,AL,Census Tract 2; Calhoun County; Alabama,2540,30.9,5.5,16.0,21.7,14.8,21.1,15.6,3.1,0.7279,0.0,5028092,0.0,34.8,Moderate Risk,Adequate Access,2,Low Priority
1015000300,Calhoun County,Alabama,AL,Census Tract 3; Calhoun County; Alabama,2402,57.0,5.2,21.1,13.5,15.1,23.4,25.2,11.8,0.8532,0.0,5028092,0.0,45.5,Moderate Risk,Adequate Access,2,Low Priority
1015000400,Calhoun County,Alabama,AL,Census Tract 4; Calhoun County; Alabama,2563,40.7,8.5,29.7,7.6,32.3,21.6,33.8,8.7,0.9487,0.0,5028092,0.0,44.92,Moderate Risk,Adequate Access,2,Low Priority
1015000500,Calhoun County,Alabama,AL,Census Tract 5; Calhoun County; Alabama,1019,63.3,25.6,18.4,7.9,28.3,16.9,35.2,4.5,0.7048,0.0,5028092,0.0,58.82,Moderate Risk,Adequate Access,2,Low Priority
1015000600,Calhoun County,Alabama,AL,Census Tract 6; Calhoun County; Alabama,1869,62.5,10.7,18.6,23.5,11.6,17.9,23.5,14.8,0.9403,0.0,5028092,0.0,52.27,Moderate Risk,Adequate Access,2,Low Priority
1015000700,Calhoun County,Alabama,AL,Census Tract 7; Calhoun County; Alabama,2784,37.3,4.5,13.5,16.7,15.3,18.1,23.9,8.5,0.9228,0.0,5028092,0.0,37.59,Moderate Risk,Adequate Access,2,Low Priority
1015000800,Calhoun County,Alabama,AL,Census Tract 8; Calhoun County; Alabama,1281,50.6,11.8,23.3,20.0,13.3,16.9,25.2,10.9,0.9424,0.0,5028092,0.0,46.69,Moderate Risk,Adequate Access,2,Low Priority
1015000900,Calhoun County,Alabama,AL,Census Tract 9; Calhoun County; Alabama,3712,16.1,4.3,7.1,8.7,35.4,16.8,14.5,8.7,0.4231,0.0,5028092,0.0,29.07,Low Risk,Adequate Access,1,Low Priority
1015001000,Calhoun County,Alabama,AL,Census Tract 10; Calhoun County; Alabama,5834,14.8,1.9,8.3,7.4,24.7,22.0,15.0,8.5,0.3054,0.0,5028092,0.0,23.52,Low Risk,Adequate Access,1,Low Priority
1015001101,Calhoun County,Alabama,AL,Census Tract 11.01; Calhoun County; Alabama,2185,10.8,1.5,11.7,3.2,17.9,19.9,10.9,13.8,0.1393,0.0,5028092,0.0,16.14,Low Risk,Adequate Access,1,Low Priority
